Substance name,Description,EC / List no,CAS no,Value,Date of inclusion in the POPs Regulation,POPs Regulation History,POPs Regulation Annex,First published
"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-henicosafluorododecanol",,212-748-7,865-86-1,Yes,15-Jun-2020,"<a href=""https://eur-lex.europa.eu/eli/reg_del/2020/784/oj"">Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards the listing of perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2020.220.01.0011.01.ENG&toc=OJ:L:2020:220:TOC"">Corrigendum to Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""https://eur-lex.europa.eu/eli/reg_del/2021/115/oj"">Commission Delegated Regulation (EU) 2021/115 of 27 November 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg_del/2023/866/oj"">Commission Delegated Regulation (EU) 2023/866 of 24 February 2023 amending Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>","Annex I, part A#Annex IV",12-Nov-2020
"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,14-pentacosafluorotetradecyl methacrylate",,227-870-6,6014-75-1,Yes,15-Jun-2020,"<a href=""https://eur-lex.europa.eu/eli/reg_del/2020/784/oj"">Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards the listing of perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2020.220.01.0011.01.ENG&toc=OJ:L:2020:220:TOC"">Corrigendum to Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""https://eur-lex.europa.eu/eli/reg_del/2021/115/oj"">Commission Delegated Regulation (EU) 2021/115 of 27 November 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg_del/2023/866/oj"">Commission Delegated Regulation (EU) 2023/866 of 24 February 2023 amending Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>","Annex I, part A#Annex IV",12-Nov-2020
Potassium perfluorooctanoate,,219-248-8,2395-00-8,Yes,15-Jun-2020,"<a href=""https://eur-lex.europa.eu/eli/reg_del/2020/784/oj"">Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards the listing of perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2020.220.01.0011.01.ENG&toc=OJ:L:2020:220:TOC"">Corrigendum to Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""https://eur-lex.europa.eu/eli/reg_del/2021/115/oj"">Commission Delegated Regulation (EU) 2021/115 of 27 November 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg_del/2023/866/oj"">Commission Delegated Regulation (EU) 2023/866 of 24 February 2023 amending Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>","Annex I, part A#Annex IV",12-Nov-2020
Ethyl perfluorooctanoate,,221-468-4,3108-24-5,Yes,15-Jun-2020,"<a href=""https://eur-lex.europa.eu/eli/reg_del/2020/784/oj"">Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards the listing of perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2020.220.01.0011.01.ENG&toc=OJ:L:2020:220:TOC"">Corrigendum to Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""https://eur-lex.europa.eu/eli/reg_del/2021/115/oj"">Commission Delegated Regulation (EU) 2021/115 of 27 November 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg_del/2023/866/oj"">Commission Delegated Regulation (EU) 2023/866 of 24 February 2023 amending Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>","Annex I, part A#Annex IV",12-Nov-2020
"1,1,1,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12-tetracosafluoro-12-iodo-2-(trifluoromethyl)dodecane",,221-829-6,3248-61-1,Yes,15-Jun-2020,"<a href=""https://eur-lex.europa.eu/eli/reg_del/2020/784/oj"">Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards the listing of perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2020.220.01.0011.01.ENG&toc=OJ:L:2020:220:TOC"">Corrigendum to Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""https://eur-lex.europa.eu/eli/reg_del/2021/115/oj"">Commission Delegated Regulation (EU) 2021/115 of 27 November 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg_del/2023/866/oj"">Commission Delegated Regulation (EU) 2023/866 of 24 February 2023 amending Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>","Annex I, part A#Annex IV",12-Nov-2020
Octacosafluoro-14-iodo-2-(trifluoromethyl)tetradecane,,221-830-1,3248-63-3,Yes,15-Jun-2020,"<a href=""https://eur-lex.europa.eu/eli/reg_del/2020/784/oj"">Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards the listing of perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2020.220.01.0011.01.ENG&toc=OJ:L:2020:220:TOC"">Corrigendum to Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""https://eur-lex.europa.eu/eli/reg_del/2021/115/oj"">Commission Delegated Regulation (EU) 2021/115 of 27 November 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg_del/2023/866/oj"">Commission Delegated Regulation (EU) 2023/866 of 24 February 2023 amending Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>","Annex I, part A#Annex IV",12-Nov-2020
Ammonium pentadecafluorooctanoate,,223-320-4,3825-26-1,Yes,15-Jun-2020,"<a href=""https://eur-lex.europa.eu/eli/reg_del/2020/784/oj"">Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards the listing of perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2020.220.01.0011.01.ENG&toc=OJ:L:2020:220:TOC"">Corrigendum to Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""https://eur-lex.europa.eu/eli/reg_del/2021/115/oj"">Commission Delegated Regulation (EU) 2021/115 of 27 November 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg_del/2023/866/oj"">Commission Delegated Regulation (EU) 2023/866 of 24 February 2023 amending Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>","Annex I, part A#Annex IV",12-Nov-2020
N-ethylheptadecafluorooctanesulphonamide,,223-980-3,4151-50-2,Yes,15-Jun-2020,"<a href=""https://eur-lex.europa.eu/eli/reg_del/2020/784/oj"">Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards the listing of perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2020.220.01.0011.01.ENG&toc=OJ:L:2020:220:TOC"">Corrigendum to Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""https://eur-lex.europa.eu/eli/reg_del/2021/115/oj"">Commission Delegated Regulation (EU) 2021/115 of 27 November 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg_del/2023/866/oj"">Commission Delegated Regulation (EU) 2023/866 of 24 February 2023 amending Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>","Annex I, part A#Annex IV",12-Nov-2020
"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,15,15,16,16,16-nonacosafluorohexadecyl methacrylate",,225-627-9,4980-53-4,Yes,15-Jun-2020,"<a href=""https://eur-lex.europa.eu/eli/reg_del/2020/784/oj"">Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards the listing of perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2020.220.01.0011.01.ENG&toc=OJ:L:2020:220:TOC"">Corrigendum to Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""https://eur-lex.europa.eu/eli/reg_del/2021/115/oj"">Commission Delegated Regulation (EU) 2021/115 of 27 November 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg_del/2023/866/oj"">Commission Delegated Regulation (EU) 2023/866 of 24 February 2023 amending Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>","Annex I, part A#Annex IV",12-Nov-2020
"2-Propenoic acid, perfluoro-C8-16-alkyl esters",,288-202-7,85681-64-7,Yes,15-Jun-2020,"<a href=""https://eur-lex.europa.eu/eli/reg_del/2020/784/oj"">Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards the listing of perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2020.220.01.0011.01.ENG&toc=OJ:L:2020:220:TOC"">Corrigendum to Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""https://eur-lex.europa.eu/eli/reg_del/2021/115/oj"">Commission Delegated Regulation (EU) 2021/115 of 27 November 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg_del/2023/866/oj"">Commission Delegated Regulation (EU) 2023/866 of 24 February 2023 amending Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>","Annex I, part A#Annex IV",12-Nov-2020
"N-(3-aminopropyl)-2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-pentadecafluorooctanamide",,288-891-4,85938-56-3,Yes,15-Jun-2020,"<a href=""https://eur-lex.europa.eu/eli/reg_del/2020/784/oj"">Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards the listing of perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2020.220.01.0011.01.ENG&toc=OJ:L:2020:220:TOC"">Corrigendum to Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""https://eur-lex.europa.eu/eli/reg_del/2021/115/oj"">Commission Delegated Regulation (EU) 2021/115 of 27 November 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg_del/2023/866/oj"">Commission Delegated Regulation (EU) 2023/866 of 24 February 2023 amending Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>","Annex I, part A#Annex IV",12-Nov-2020
"Octanoic acid, pentadecafluoro-, branched",,291-790-8,90480-55-0,Yes,15-Jun-2020,"<a href=""https://eur-lex.europa.eu/eli/reg_del/2020/784/oj"">Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards the listing of perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2020.220.01.0011.01.ENG&toc=OJ:L:2020:220:TOC"">Corrigendum to Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""https://eur-lex.europa.eu/eli/reg_del/2021/115/oj"">Commission Delegated Regulation (EU) 2021/115 of 27 November 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg_del/2023/866/oj"">Commission Delegated Regulation (EU) 2023/866 of 24 February 2023 amending Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>","Annex I, part A#Annex IV",12-Nov-2020
"Octanoic acid, pentadecafluoro-, branched, ammonium salt",,291-791-3,90480-56-1,Yes,15-Jun-2020,"<a href=""https://eur-lex.europa.eu/eli/reg_del/2020/784/oj"">Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards the listing of perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>#<a href=""https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=uriserv:OJ.L_.2020.220.01.0011.01.ENG&toc=OJ:L:2020:220:TOC"">Corrigendum to Commission Delegated Regulation (EU) 2020/784 of 8 April 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""https://eur-lex.europa.eu/eli/reg_del/2021/115/oj"">Commission Delegated Regulation (EU) 2021/115 of 27 November 2020 amending Annex I to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg/2022/2400/oj"">Regulation (EU) 2022/2400 of the European Parliament and of the Council of 23 November 2022 amending Annexes IV and V to Regulation (EU) 2019/1021</a>#<a href=""http://data.europa.eu/eli/reg_del/2023/866/oj"">Commission Delegated Regulation (EU) 2023/866 of 24 February 2023 amending Regulation (EU) 2019/1021 of the European Parliament and of the Council as regards perfluorooctanoic acid (PFOA), its salts and PFOA-related compounds</a>","Annex I, part A#Annex IV",12-Nov-2020
