CR No.,CAS No,Chemical Name,AICIS Approved Chemical Name (AACN),Molecular Formula,Defined Scope Of Assessment,Conditions Of Use,Specific Information Requirement,Prescribed Information
36307,116810-34-5,"Amide from hydrogenated tallow fatty acid and N-(3-aminopropyl)-1,3-propanediamine, reaction products with sodium monochloroacetate (1:2)",,C6H17N3.C2H3ClO2.Na.,,,,
36308,116810-35-6,"Amides from N-(2-aminoethyl)-1,2-ethanediamine and hydrogenated tallow fatty acid (1:2), ethoxylated, reacted with diphosphorus pentoxide, compound with 2,2',2''-nitrilotris[ethanol]",,C6H15NO3.C4H13N3.C2H4O.O5P2.,,,,
36309,116810-36-7,"Quaternary ammonium compound, amide from hydrogenated tallow and N,N-dimethyl-1,3-propanediamine, reacted with dimethylsulfate",,Unspecified,,,,
36310,116810-37-8,"Benzenesulfonic acid, C10-13-alkyl derivatives, compound with hydrogenated tallow amide, N-3-(dimethylamino)propyl-",,Unspecified,,,,
36311,116810-38-9,"Ethene, homopolymer, oxydized, compound with tallow alkylamine, ethoxylated",,C2H4O.C2H4.,,,,
36312,116810-39-0,"Fatty acid, rape oil, ethoxylated",,Unspecified,,,,
36313,116810-40-3,"Fatty acid, tallow hydrogenated, diester with 2,2',2''-nitrilotris[ethanol]",,Unspecified,,,,
36314,116810-41-4,"Fatty acid, tallow hydrogenated, diester with 2,2',2''-nitrilotris[ethanol], formiate (salt)",,Unspecified,,,,
36315,116810-42-5,"Fatty acid, tallow hydrogenated, reaction products with ethylenediamine",,C2H8N2.,,,,
36316,116810-43-6,"Fatty acid, tallow hydrogenated, reaction products with N-(2-aminoethyl)-1,2-ethanediamine, formates (salt)",,Unspecified,,,,
36317,116810-44-7,"Glycerides, C14-18 and C16-18-unsaturated, mono, ethoxylated",,Unspecified,,,,
36318,116810-46-9,"Quaternary ammonium compounds, trimethyltallow alkyl, hexa-.mu.-oxotetra-.mu.3-oxodi-.mu.5-oxotetradecaoxooctamolybdate(4-) (4:1)",,Unspecified,,,,
36319,116810-48-1,"Siloxanes and silicones, dimethyl, polymers with ethylene glycol, methoxy terminated phenyl silsesquioxanes, terephthalic acid and trimethylolpropane",,Unspecified,,,,
3632,127-82-2,"Benzenesulfonic acid, 4-hydroxy-, zinc salt (2:1)",,C6H6O4S.1/2Zn,,,,
36320,116810-50-5,"Fatty acid, tallow hydrogenated, reaction products with aluminium sec-butylate",,Unspecified,,,,
36321,116889-71-5,"Butyl-2-propenoate, polymer with ethenylbenzene, formaldehyde, 2-propenamide and 2-propenoic acid",,(C8H8.C7H12O2.C3H5NO.C3H4O2.CH2O)x,,,,
36322,116889-72-6,"1,3-Benzenedicarboxylic acid polymer with 1,4-benzenedicarboxylic acid, 2,2-dimethyl-1,3-propanediol, hexandioic acid and 2,2'-oxybis[ethanol]",,(C8H6O4.C8H6O4.C6H10O4.C5H12O2.C4H10O3)x,,,,
36323,116889-73-7,"1,3-Benzenedicarboxylic acid polymer with 1,4-benzene dicarboxylic acid, 1,3-dihydro-1,3-dioxo-5-isobenzofurancarboxylic acid, 2,2-dimethyl-1,3-propanediol and 2,2'-oxybis[ethanol]",,(C9H4O5.C8H6O4.C8H6O4.C5H12O2.C4H10O3)x,,,,
36324,116889-74-8,"1,4-Benzenedicarboxylic acid polymer with 1,3-dihydro-1,3-dioxo-5-isobenzofurancarboxylic acid, 2,2-dimethyl-1,3-propanediol, hexanedioic acid and 2,2'-oxybis[ethanol]",,(C9H4O5.C8H6O4.C6H10O4.C5H12O2.C4H10O3)x,,,,
36325,116889-75-9,"Phenol, 4,4'-(1-methylethylidene) bis-, polymer with (chloromethyl) oxirane, 2-(dimethylamino)ethanol and phosphoric acid",,(C15H16O2.C4H11NO.C3H5ClO.H3O4P)x,,,,
36326,116889-76-0,"Benzene, ethenyl-, polymer with butyl 2-propenoate, dihydro-3-methylene-2,5-furandione and methyl 2-methyl-2-propenoate",,(C8H8.C7H12O2.C5H8O2.C5H4O3)x,,,,
36327,116889-77-1,"Benzene, ethenyl-, polymer with 2-(diethylamino) ethyl-2-methyl-2-propenoate, 2-ethylhexyl 2-methyl-2-propenoate, 2-hydroxyethyl 2-propenoate and methyl 2-methyl-2-propenoate",,(C12H22O2.C10H19NO2.C8H8.C5H8O3.C5H8O2)x,,,,
36328,116889-78-2,"2,7-Naphthalenedisulfonic acid, 4-amino-5-hydroxy-6-[2-[3-[[[2-[[2-(sulfooxy)ethyl]sulfonyl]ethyl]amino]carbonyl]phenyl]diazenyl]-3-[2-[4-[[2-(sulfooxy)ethyl]sulfonyl]phenyl]diazenyl]-, sodium salt (1:4)",,C29H30N6O20S6.4Na,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
36329,116912-33-5,"Formaldehyde, reaction products with 1,3-benzenedimethanamine, p-tert-butylphenol, nonylphenol and trimethyl-1,6-hexanediamine",,C15H24O.C10H14O.C9H22N2.C8H12N2.CH2O,,,,
36330,116912-34-6,"Formaldehyde, reaction products with N,N''-1,2-ethanediylbis[1,3-propanediamine], phenol and trimethyl-1,6-hexanediamine",,C9H22N2.C8H22N4.C6H6O.CH2O,,,,
36331,116912-35-7,"2,7-Naphthalenedisulfonic acid, 4-amino-3,6-bis [[5-[(2,3-dibromo-1-oxopropyl)amino]-2-sulfophenyl]azo]-5-hydroxy-, potassium sodium salt",,C28H23Br4N7O15S4 . xK . xNa,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
36332,116912-36-8,"1,5-Naphthalenedisulfonic acid, 2-[2-[8-[[4-[[3-[[[2-(ethenylsulfonyl)ethyl]amino]carbonyl]phenyl]amino]-6-fluoro-1,3,5-triazin-2-yl]amino]-1-hydroxy-3,6-disulfo-2-naphthalenyl]diazenyl]-, sodium salt (1:4)",,C34H27FN8O16S5.4Na,,,Obligations to provide information apply. You must tell us within 28 days if the circumstances of your importation or manufacture (introduction) are different to those in our assessment.,
36333,116954-24-6,"1,3-Benzenedicarboxylic acid, polymer with 1,4-benzenedicarboxylic acid, 1,3-dihydro-1,3-dioxo-5-isobenzofurancarboxylic acid, 2,2-dimethyl-1,3-propanediol and 1,6-hexanediol",,(C9H4O5.C8H6O4.C8H6O4.C6H14O2.C5H12O2)x,,,,
36334,116954-25-7,"1,3-Benzenedicarboxylic acid, polymer with 2,2-dimethyl-1,3-propanediol, 1,2-ethanediol, 1,6-hexanediol and 1,3-isobenzofurandione",,(C8H6O4.C8H4O3.C6H14O2.C5H12O2.C2H6O2)x,,,,
36335,116954-26-8,"1,3-Benzenedicarboxylic acid, polymer with 1,4-benzenedicarboxylic acid, 2,2-dimethyl-1,3-propanediol, 1,2-ethanediol, 1,6-hexanediol and 3-hydroxy-2,2-dimethylpropyl 3-hydroxy-2,2-dimethylpropanoate",,(C10H20O4.C8H6O4.C8H6O4.C6H14O2.C5H12O2.C2H6O2)x,,,,
36336,116954-27-9,"1,3-Benzenedicarboxylic acid, polymer with dimethyl 1,4-benzenedicarboxylate, 2,2-dimethyl-1,3-propanediol and 1,6-hexanediol",,(C10H10O4.C8H6O4.C6H14O2.C5H12O2)x,,,,
36337,116973-52-5,"Hexanedioic acid, polymer with 2-amino-2-ethyl-1,3-propanediol, formaldehyde, .alpha.-hydro-.omega.-hydroxypoly(oxy-1,2-ethanediyl), oxiranylmethyl neodecanoate and 6-phenyl-1,3,5-triazine-2,4-diamine, butyl ether",,(C13H24O3.C9H9N5.C6H10O4.C5H13NO2.(C2H4O)nH2O.CH2O)x,,,,
36338,116973-57-0,"Urea, reaction products with butyl alcohol, formaldehyde and isotridecanol",,C13H28O.C4H10O.CH4N2O.CH2O,,,,
36339,116973-58-1,"1,3-Benzenedicarboxylic acid, polymer with 2,2-dimethyl-1,3-propanediol, 1,2-ethanediol, 2-ethyl-2-(hydroxymethyl)-1,3-propanediol, 1,6-hexanediol and 1,3-isobenzofurandione",,(C8H6O4.C8H4O3.C6H14O3.C6H14O2.C5H12O2.C2H6O2)x,,,,
3634,127-91-3,"Bicyclo[3.1.1]heptane, 6,6-dimethyl-2-methylene-",,C10H16,,,,
36340,116998-24-4,"1-Octadecanol, reaction products with butyl alcohol, phosphorus oxide (P2O5) and polyethylene glycol mono(isononylphenyl) ether, compounds with diethanolamine",,C18H38O.C4H11NO2.C4H10O.(C2H4O)nC15H24O.O5P2,,,,
36341,116998-26-6,"Phenol, 4-(1,1-dimethylethyl)-, reaction products with phosphorous oxide (P2O5)",,C10H14O.O5P2,,,,
36342,116998-27-7,"Phenol, nonyl-, reaction products with phosphorous oxide (P2O5)",,C15H24O.O5P2,,,,
36343,117140-44-0,"2-Propenoic acid, 1,1-dimethylethyl ester, polymer with 1,3-butadiene, ethenylbenzene and 2-propenenitrile, graft",,(C8H8.C7H12O2.C4H6.C3H3N)x,,,,
36344,117198-20-6,"Ferrate(1-), [[N,N'-1,3-propanediylbis[N-(carboxymethyl)glycinato]](4-)-N,N',O,O',ON,ON']-, (OC-6-21)-",,C11H14FeN2O8,,,,
36345,117204-17-8,"2H-1,2,6-Thiadiazine-3,5(4H,6H)-dione, 2,6-dicyclohexyl-4-(2-methylpropyl)-, 1,1-dioxide",,C19H32N2O4S,,,,
36346,117272-22-7,"Phosphine oxide, bis(2,6-dichlorobenzoyl)(propylphenyl)-",,C23H17Cl4O3P,,,,
36347,117272-23-8,"2-Propenoic acid, (octahydro-4,7-methano-1H-indenediyl)bis(methylene) ester, polymer with 1,2-ethanediylbis(2-methyl-2-propenoate)",,(C18H24O4.C10H14O4)x,,,,
36348,117272-76-1,"Siloxanes and silicones, 3-hydroxypropyl methyl, ethers with polyethylene glycol monomethyl ether",,Unspecified,,,,
36349,117310-64-2,"Phosphine oxide, (butylphenyl)bis(2,6-dichlorobenzoyl)-",,C24H19Cl4O3P,,,,
3635,127-95-7,"Ethanedioic acid, monopotassium salt",,C2H2O4.K,,,,
36350,117342-25-3,"1-Tetradecanaminium, N,N-dimethyl-N-tetradecyl-, hexa-.mu.-oxotetra-.mu.3-oxodi-.mu.5-oxotetradecaoxooctamolybdate(4-) (4:1)",,C30H64N.1/4Mo8O26,,,,
36351,117342-26-4,"Spiro[isobenzofuran-1(3H),9'-[9H]xanthen]-3-one, 2'-bromo-6'-(dibutylamino)-3'-methyl-",,C29H30BrNO3,,,,
36352,117409-78-6,"2-Naphthalenesulfonic acid, 4-hydroxy-3-[[4-[[2-methoxy-4-[(3-sulfophenyl)azo]phenyl]azo]-3-methylphenyl]azo]-6-[(3-sulfophenyl)amino]-, trilithium salt",,C36H29N7O11S3.3Li,,,,
36353,117409-79-7,"1,3-Benzenedicarboxylic acid, polymer with 1,4-benzenedicarboxylic acid, 2-(diethylamino) ethyl 2-methyl-2-propenoate, ethenylbenzene, 2,5-furandione and 2,2'-[(1-methylethylidene)bis(4,1-phenyleneoxy)]bis[ethanol], graft",,(C19H24O4 . C10H19NO2.C8H8. C8H6O4.C8H6O4. C4H2,,,,
36354,117440-18-3,"Fatty acids, tall-oil, polymers with cresol, formaldehyde and glycerol, butylated",,(C7H8O.C3H8O3.CH2O.Unspecified)x,,,,
36355,117440-19-4,"Polyphosphoric acids, polymers with castor oil and 1,1'-[(1-methylethylidene)bis(4,1-phenyleneoxy)]bis[2-propanol]",,(C21H28O4.Unspecified.Unspecified)x,,,,
36356,117440-20-7,"Resin acids and rosin acids, sodium salts, polymers with m-cresol, o-cresol and formaldehyde, butylated",,(C7H8O.C7H8O.CH2O.Unspecified)x,,,,
36357,117440-21-8,"Siloxanes and silicones, dimethyl, 3-hydroxypropyl terminated, diethers with polyethylene glycol monoacrylate",,Unspecified,,,,
36358,117440-22-9,"Siloxanes and silicones, dimethyl, polymers with boric acid(H3BO3) trimethyl ester, phenyl silsesquioxanes and silica",,Unspecified,,,,
36359,117440-23-0,"Siloxanes and silicones, 3-hydroxypropyl methyl, ethers with polyethylene glycol monoacetate",,Unspecified,,,,
3636,127-96-8,"Ethanedioic acid, potassium salt (2:1)",,C2H2O4.1/2K,,,,
36360,117440-24-1,"Silsesquioxanes, methyl propyl, hydroxy terminated, potassium salts",,Unspecified,,,,
36361,117440-25-2,"Silicic acid, ethyl 2-methoxy-1-methylethyl ester",,C4H10O2.xC2H6O.xUnspecified,,,,
36362,117500-31-9,"2-Propenoic acid, 2-methyl-, 2-hydroxyethyl ester, polymer with ethenylbenzene, ethyl 2-propenoate, N,N,N',N',N'',N''-hexakis(methoxymethyl)-1,3,5-triazine-2,4,6-triamine, methyl 2-methyl-2-propenoate and alpha.,.alpha.',.alpha.''-1,2,3-propanetriyltris(.omega.-hydroxypoly(oxy(methyl-1,2-ethanediyl)))",,(C15H30N6O6.C8H8. C6H10O3 C5H8O2.C5H8O2.,,,,
36363,117527-94-3,"Amines, C12-14-tert-alkyl, compounds with 1-[[5-(1,1-dimethylpropyl)-2-hydroxy-3-nitrophenyl]azo]-2-naphthalenol 1-[(2-hydroxy-4(or 5)-nitrophenyl)azo]-2-naphthenol chromium complexes",,C21H21N3O4.C16H11N3O4.Cr.,,,,
36364,117541-97-6,"Ethanol, 2-[[4-[(5,6-dichloro-2-benzothiazolyl)azo]phenyl]ethylamino]-, acetate (ester)",,C19H18Cl2N4O2S,,,,
36365,117560-29-9,"Ethanaminium, N,N-bis(2-aminoethyl)-N-methyl-1-oxo-, N,N'-di-C10-18-acyl derivatives, chlorides",,Unspecified,,,,
36366,117581-13-2,"1,4-Benzenedicarboxylic acid, polymer with 1,3-dihydro-1,3-dioxo-5-isobenzofurancarboxylic acid, dihydro-3-(tetrapropenyl)-2,5-furandione, .alpha.,.alpha.'-[(1-methylethylidene)di-4,1-phenylene]bis[.omega.-hydroxypoly[oxy(methyl-1,2-ethanediyl)]] and .alpha.,.alpha.'-[(1-methylethylidene)di-4,1-phenylene]bis[.omega.-hydroxypoly(oxy-1,2-ethanediyl)]",,(C16H26O3.C9H4O5.C8H6O4.(C3H6O)n(C3H6O)nC15H16O2.(C2H4O)n(C2H4O)nC15H16O2)x,,,,
36367,117584-12-0,"7H-Benzimidazo[2,1-a]benz[de]isoquinolin-7-one, 4,10-dimethoxy-",,C20H14N2O3,,,,
36369,117584-14-2,"1,4-Benzenedisulfonic acid, 2-[[4-[[3-(acetylamino)-4-[[4-[2-(4-nitro-2-sulfophenyl)ethenyl]-3-sulfophenyl]azo]phenyl]amino]-6-chloro-1,3,5-triazin-2-yl]amino]-, tetrasodium salt",,C31H24ClN9O15S4.4Na,,,,
3637,128-03-0,"Carbamodithioic acid, dimethyl-, potassium salt",,C3H7NS2.K,,,,
36370,117584-15-3,"1,4-Benzenedisulfonic acid, 2-[[6-[[3-(acetylamino)-4-[[4-[2-(4-nitro-2-sulfophenyl)ethenyl]-3-sulfophenyl]azo]phenyl]amino]-1,4-dihydro-4-oxo-1,3,5-triazin-2-yl]amino]-, tetrasodium salt",,C31H25N9O16S4.4Na,,,,
36371,117584-17-5,"2-Propenoic acid, polymer with N-(butoxymethyl)-2-methyl-2-propenamide, ethenylbenzene, 2-ethylhexyl 2-propenoate and 2-hydroxypropyl 2-propenoate",,(C11H20O2.C9H17NO2.C8H8.C6H10O3.C3H4O2)x,,,,
36372,117584-18-6,"2-Propenoic acid, 2-hydroxypropyl ester, polymer with 1,2-dimethylbenzene and 2,5-furandione",,(C8H10.C6H10O3.C4H2O3)x,,,,
36373,117584-20-0,"2-Propenoic acid, 2-hydroxypropyl ester, polymer with 1,2-dimethylbenzene and 2,5-furandione, sodium salt",,(C8H10.C6H10O3.C4H2O3)x.xNa,,,,
36374,117584-21-1,"2-Propenoic acid, 2-methyl-, methyl ester, polymer with 1,3-butadiene, 1,4-butanediyl di-2-propenoate, ethenylbenzene, ethyl 2-propenoate and 2-propenenitrile, graft",,(C10H14O4.C8H8.C5H8O2.C5H8O2.C4H6.C3H3N)x,,,,
36375,117584-22-2,"2-Propenoic acid, 2-methyl-, methyl ester, polymer with 1,3-butadiene, 1,4-butanediyl di-2-propenoate and ethenylbenzene, graft",,(C10H14O4.C8H8.C5H8O2.C4H6)x,,,,
36376,117584-23-3,"2-Propenoic acid, 2-methyl-, methyl ester, polymer with 1,3-butadiene, 1,4-butanediyl di-2-propenoate, ethenylbenzene and 2-ethylhexyl 2-propenoate, graft",,(C11H20O2.C10H14O4.C8H8.C5H8O2.C4H6)x,,,,
36377,117584-24-4,"2-Propenoic acid, 2-methyl-, methyl ester, polymer with 1,3-butadiene, ethenylbenzene and 2-ethylhexyl 2-propenoate, graft",,(C11H20O2.C8H8.C5H8O2.C4H6)x,,,,
36378,117584-25-5,"2-Propenoic acid, 2-methyl-, methyl ester, polymer with 1,3-butadiene, ethenylbenzene, ethyl 2-propenoate and 2-propenenitrile, graft",,(C8H8.C5H8O2.C5H8O2.C4H6.C3H3N)x,,,,
36379,117584-26-6,"2-Propenoic acid, 2-methyl-, methyl ester, polymer with 1,3-butadiene, 1,4-butanediyl di-2-propenoate and butyl 2-propenoate, graft",,(C10H14O4.C7H12O2.C5H8O2.C4H6)x,,,,
3638,128-04-1,"Carbamodithioic acid, dimethyl-, sodium salt",,C3H7NS2.Na,,,,
36380,117584-27-7,"2-Propenoic acid, butyl ester, polymer with 3-buten-2-ol and chloroethene, graft",,(C7H12O2.C4H8O.C2H3Cl)x,,,,
36381,117653-66-4,"2-Propenoic acid, 2-ethylhexyl ester, polymer with chloroethene, graft",,(C11H20O2.C2H3Cl)x,,,,
36382,117653-69-7,"1,3-Benzenedicarbonyl dichloride, polymer with 1,4-benzenedicarbonyl dichloride, carbonic dichloride and 4,4'-(1-methylethylidene)bis[phenol], 4-(1,1,3,3-tetramethylbutyl)phenyl ester",,(C15H16O2.C8H4Cl2O2.C8H4Cl2O2.CCl2O)x.xC14H22O,,,,
36383,117677-03-9,"2-Propenoic acid, 2-methyl-, methyl ester, polymer with ethenylbenzene and 2-ethylhexyl 2-propenoate, graft",,(C11H20O2.C8H8.C5H8O2)x,,,,
36384,117680-83-8,"Chitosan, N-(2-hydroxy-3-(1-methylethoxy)propyl)",,Unspecified,,,,
36385,117735-16-7,"2-Propenoic acid, 2-methyl-, polymer with ethenylbenzene, 2-ethylhexyl 2-propenoate, ethyl 2-propenoate, N,N,N',N',N'',N''-hexakis(methoxymethyl)-1,3,5-triazine-2,4,6-triamine, 2-hydroxyethyl 2-methyl-2-propenoate, methyl 2-methyl-2-propenoate and .alpha.-(2-methyl-1-oxo-2-propenyl)-.omega.-hydroxypoly(oxy(methyl-1,2-ethanediyl))",,(C15H30N6O6.C11H20O2.C8H8.C6H10O3.C5H8O2,,,,
36386,117907-42-3,"Ethanol, 2,2'-[(3,5-diamino-2,6-pyridinediyl)bis(oxy)]bis-",,C9H15N3O4,,,,
36387,117920-00-0,"Amines, C16-22-tert-alkyl, compounds with 2(3H)-benzothiazolethione",,C7H5NS2.,,,,
36388,117933-89-8,"1,3-Dioxane, 2-(2,4-dimethyl-3-cyclohexen-1-yl)-5-methyl-5-(1-methylpropyl)-",,C17H30O2,,,,
36389,117985-54-3,"Benzenesulfonic acid, hydroxy-, monosodium salt, polymer with benzenamine, formaldehyde, 1,3,5-triazine-2,4,6-triamine and urea, bisulfited",,(C6H7N.C6H6O4S.C3H6N6.CH4N2O.CH2O.Na)x,,,,
3639,128-08-5,"2,5-Pyrrolidinedione, 1-bromo-",,C4H4BrNO2,,,,
36390,117985-58-7,"2-Propenoic acid, polymer with N-[3-(dimethylamino)propyl]-2-methyl-2-propenamide, ethenylbenzene and 2-methylpropyl 2-propenoate, acetate",,(C9H18N2O.C8H8.C7H12O2.C3H4O2)x.xC2H4O2,,,,
36391,117985-59-8,"Formamide, N-ethenyl-, polymer with ethenamine, sulfate",,(C3H5NO.C2H5N)x.xH2O4S,,,,
36392,118037-29-9,"2-Propenoic acid, butyl ester, polymer with ethenylbenzene and 2,5-furandione, graft",,(C8H8.C7H12O2.C4H2O3)x,,,,
36393,118102-37-7,"Alcohols, C8-14, .gamma.-.omega.-perfluoro, reaction products with epichlorohydrin, polyethylene glycol monomethyl ether and N,N',2-tris(6-isocyanatohexyl)imidodicarbonic diamide",,Unspecified,,,,
36394,118102-38-8,"Alcohols, C8-14, .gamma.-.omega.-perfluoro, reaction products with epichlorohydrin, tetrahydrofuran homopolymer and N,N′,2-tris(6-isocyanatohexyl)imidodicarbonic diamide",,(C23H38N6O5.C4H8O.C3H5ClO.Unspecified)x,,,,
36395,118102-40-2,"Amines, N-tallow alkyltrimethylenedi-, ethoxylated, benzyl chloride-quaternized",,Unspecified,,,,
36396,118207-99-1,"Benzoic acid, 2-[(2-hydroxy-1-naphthalenyl)azo]-, 2-(dimethylamino)ethyl ester, monohydrochloride",,C21H21N3O3.ClH,,,,
36397,118208-00-7,"Bicyclo[2.2.2]octane-2-carbonyl chloride, 3-(1-methylethyl)-",,C12H19ClO,,,,
36398,118208-02-9,"Benzoic acid, 2,2'-[[2,4(3,5 or 4,6)-dihydroxyphenylene]bis(azo)]bis-, bis[2-(dimethylamino)ethyl] ester, dihydrochloride",,C28H32N6O6.2ClH,,,,
36399,118208-04-1,"2-Propenoic acid, polymer with 1,3-butadiene, ethenylbenzene, 2-methyl-2-propenamide and 2-propenenitrile, ammonium salt",,(C8H8.C4H7NO.C4H6.C3H4O2.C3H3N)x.xH3N,,,,
364,,"Zinc, O,O-bis(1,3dimethylbutyl)phosphorodithioate reaction products with methyloxirane",,,,,,
3640,128-09-6,"2,5-Pyrrolidinedione, 1-chloro-",,C4H4ClNO2,,,,
36400,118215-45-5,"Urea, N,N''-methylenebis[N'-[1-(hydroxymethyl)-2,5-dioxo-4-imidazolidinyl]-",,C11H16N8O8,,,,
36401,118249-63-1,"Silsesquioxanes, Ph, ethoxy terminated, polymers with ethylene glycol, terephthalic acid and trimethylolpropane",,Unspecified,,,,
36402,118270-86-3,"2-Butenedioic acid, (E), dibutyl ester, polymer with ethenyl benzene, 2-hydroxyethyl 2-methyl 2-propenoate, methyl 2-methyl-2-propenoate and 2-methyl-2-propenoic acid",,(C12H20O4.C8H8.C6H10O3.C5H8O2.C4H6O2)x,,,,
36403,118276-36-1,"Hexanedioic acid, polymer with 2,2-bis(hydroxymethyl)-1,3-propanediol, docosanoate",,Unspecified,,,,
36404,118299-90-4,"Ethanediol, polymer with tetrahydro-4-hydroxy-5-methyl-2(1H)-pyrimidinone, propoxylated",,(C5H10N2O2.C3H6O.C2H2O2)x,,,,
36405,118337-12-5,"Silane, dimethoxy(1-methylethoxy)(2-methylpropyl)-",,C9H22O3Si,,,,
36406,118337-13-6,"Silane, methoxybis(1-methylethoxy)(2-methylpropyl)-",,C11H26O3Si,,,,
36407,118337-14-7,"Silane, tris(1-methylethoxy)(2-methylpropyl)-",,C13H30O3Si,,,,
36408,118357-22-5,"Siloxanes and Silicones, di-Me hydroxymethyl group-terminated, polymers with diethylene glycol, TDI and trimethylolpropane, block",,Unspecified,,,,
36409,118357-23-6,"Hexanedioic acid, polymer with 1,3-diisocyanatomethylbenzene, 2-ethyl-2-(hydroxymethyl)-1,3-propanediol, 1,3-isobenzofurandione, 2,2'-oxybis[ethanol] and 1,2-propanediol, block",,(C9H6N2O2.C8H4O3.C6H14O3.C6H10O4.C4H10O3.C3H8O2)x,,,,
36410,118400-69-4,"Collagens, hydrolyzates, N-[3-[(3-cocoamidopropyl)dimethylammonio]-2-hydroxypropyl]",,Unspecified,,,,
36411,118421-00-4,"Phosphonous acid, (1,1'-biphenyl)-3,4'-diylbis-, tetrakis(2,4-bis(1,1-dimethylethyl)phenyl) ester",,C68H92O4P2,,,,
36412,118421-01-5,"Phosphonous acid, (1,1'-biphenyl)-3,3'-diylbis-, tetrakis(2,4-bis(1,1-dimethylethyl)phenyl) ester",,C68H92O4P2,,,,
36413,118496-34-7,1-Methoxy-2-picoliniumbenzene sulfonate,,C7H10NO.C6H5O3S,,,,
36414,118496-35-8,"Benzenamine, 4-(5-bromo-2H-benzotriazol-2-yl)-N,N-diethyl-",,C16H17BrN4,,,,
36415,118496-36-9,"Benzenamine, 4,4'-[[4-(ethylphenylamino)phenyl]methylene]bis[N,N-dimethyl-",,C31H35N3,,,,
36416,118496-37-0,"2-Naphthalenecarboxamide, 4,4'-[(9-oxo-9H-fluorene-2,7-diyl)bis[azo(2-methyl-4,1-phenylene)azo]]bis[N-(2-chlorophenyl)-3-hydroxy-",,C61H40Cl2N10O5,,,,
36417,118496-38-1,"2-Propenoic acid, 2-methyl-, methyl ester, polymer with 2-propenoic acid, 2-ethylhexyl ester, 2-propenoic acid, 1,1-dimethylethyl ester and 2-propenoic acid, 2-methyl, random",,(C11H20O2.C7H12O2.C5H8O2.C4H6O2)x,,,,
36418,118496-39-2,"1,3-Benzenedicarboxylic acid, polymer with 1,3-diisocyanatomethylbenzene, 2,2-dimethyl-1,3-propanediol, 2-ethyl-2-(hydroxymethyl)-1,3-propanediol and 1,1'-((1-methylethylidene)bis(4,1-phenyleneoxy))bis(2-propanol)",,(C21H28O4.C9H6N2O2.C8H6O4.C6H14O3.C5H12O2)x,,,,
36419,118496-40-5,"1,3-Benzenedicarboxylic acid, polymer with 2,2-dimethyl-1,3-propanediol, 2-ethyl-2-(hydroxymethyl)-1,3-propanediol, 5-isocyanato-1-(isocyanatomethyl)-1,3,3-trimethylcyclohexane and 1,1'-[(1-methylethylidene)bis(4,1-phenyleneoxy)]bis[2-propanol]",,(C21H28O4.C12H18N2O2.C8H6O4.C6H14O3.C5H12O2)x,,,,
3642,128-37-0,"Phenol, 2,6-bis(1,1-dimethylethyl)-4-methyl-",,C15H24O,,,,
36420,118516-12-4,"1H-Imidazole, 2-undecyl-, zinc salt",,C14H26N2.1/2Zn,,,,
36421,118539-56-3,"Octadecanoic acid, 12-hydroxy-, homopolymer, methyl ester, phosphate",,Unspecified,,,,
36422,118539-57-4,"Octadecanoic acid, 12-hydroxy-, homopolymer, phosphate",,Unspecified,,,,
36423,118539-58-5,"Octadecanoic acid, 12-hydroxy-, homopolymer, ester with .alpha.-2-naphthalenyl-.omega.-hydroxypoly(oxy-1,2-ethanediyl)",,Unspecified,,,,
36424,118539-59-6,"9-Octadecenoic acid, 12-hydroxy-, [R-(Z)]-, homopolymer, ester with .alpha.-2-naphthalenyl-.omega.-hydroxypoly(oxy-1,2-ethanediyl)",,Unspecified,,,,
36425,118539-60-9,"9-Octadecenoic acid, 12-hydroxy-, [R-(Z)]-, homopolymer, methyl ester",,(C18H34O3)x.CH4O,,,,
36426,118539-61-0,"9-Octadecenoic acid, 12-hydroxy-, [R-(Z)]-, homopolymer, methyl ester, phosphate",,Unspecified,,,,
36427,118562-73-5,"Cyclododecaneethanol, .beta.-methyl-",,C15H30O,,,,
36428,118577-81-4,"Fatty acids, C16-18, polymers with adipic acid and pentaerythritol",,(C6H10O4.C5H12O4.Unspecified)x,,,,
36429,118577-94-9,"Glycerides, C16-18 mono- and di-, ethoxylated",,Unspecified,,,,
3643,128-39-2,"Phenol, 2,6-bis(1,1-dimethylethyl)-",,C14H22O,,,,
36430,118577-98-3,"Siloxanes and silicones, methyl hydrogen, reaction products with polyethylene glycol monoacetate allyl ether",,Unspecified,,,,
36431,118578-02-2,"2-Propenenitrile, polymer with 1,3-butadiene, 4-[(5-amino-4-methylpentyl)amino]-1-cyano-1-methyl-4-oxobutyl terminated",,(C4H6.C3H3N)x,,,,
36432,118578-03-3,"2-Propenoic acid, 2-methyl-, 2-hydroxy-3-[(1-oxo-2-propenyl)oxy]propyl ester, polymer with 1,3-butadiene and 2-propenenitrile, 1-cyano-4-[2-hydroxy-3-[(2-methyl-1-oxo-2-propenyl)oxy]propoxy]-1-methyl-4-oxobutyl terminated",,(C10H14O5.C4H6.C3H3N)x,,,,
